ESO069-IG006    ,   ,16 ,38, 11.84, -68, 26, 08.5, 11.7,  203,  7,  4, 1342231040, 1342230810  
IRASF16399-0937 ,   ,16 ,42, 40.10, -09, 43, 13.6, 11.3,  118,  8,  4, 1342251334, 1342229188  
NGC6240         ,   ,16 ,52, 58.89, +02, 24, 03.4, 11.6,  108, 13,  0, 1342214831, 1342203586  
IRASF16516-0948 ,   ,16 ,54, 23.81, -09, 53, 21.4, 11.0,  100,  6,  5, 1342251335, 1342229189  
NGC6286b        ,   ,16 ,58, 23.99, +58, 57, 20.3, 11.1,   85,  2,  8, 1342231068, 1342229148  
NGC6286a        ,   ,16 ,58, 31.56, +58, 56, 12.2, 11.1,   85,  7,  3, 1342221715, 1342229148  
IRASF17138-1017 ,   ,17 ,16, 35.82, -10, 20, 41.5, 11.1,   76,  8,  3, 1342230418, 1342229190  
IRAS F17207-0014,   ,17 ,23, 21.96, -00, 17, 00.9, 12.2,  190, 11,  1, 1342192829, 1342203587  
ESO138-G027     ,   ,17 ,26, 43.30, -59, 55, 55.6, 11.1,   88,  6,  6, 1342231042, 1342229216  
UGC11041        ,   ,17 ,54, 51.82, +34, 46, 34.3, 10.8,   74,  4,  5, 1342231061, 1342229169  
IRAS17578-0400  ,   ,18 ,00, 31.86, -04, 00, 53.3, 11.2,   62,  8,  4, 1342231047, 1342229187  
NGC6621         ,   ,18 ,12, 55.31, +68, 21, 46.8, 11.0,   92,  5,  4, 1342221716, 1342220865  
IC4687          ,   ,18 ,13, 39.63, -57, 43, 31.3, 11.1,   73, 10,  3, 1342192993, 1342204955  
IRAS F18293-3413,   ,18 ,32, 41.13, -34, 11, 27.5, 11.5,   78, 11,  2, 1342192830, 1342204954  
IC4734          ,   ,18 ,38, 25.60, -57, 29, 25.1, 11.0,   67,  8,  4, 1342240013, 1342229222  
NGC6701         ,   ,18 ,43, 12.56, +60, 39, 11.3, 10.9,   62,  9,  4, 1342231994, 1342229137  
IRAS 19254-7245 , a ,19 ,31, 20.50, -72, 39, 21.8, 11.8,  270,  7,  2, 1342231039, 1342206210  
IRAS 19297-0406 ,   ,19 ,32, 22.00, -04, 00, 02.0, 12.2,  387,  5,  7, 1342231078, 1342230837  
ESO339-G011     ,   ,19 ,57, 37.59, -37, 56, 08.5, 10.8,   82,  3,  8, 1342231990, 1342230821  
3C 405          ,   ,19 ,59, 28.36, +40, 44, 01.9,     ,  252,  2,  7, 1342246994, 1342230853  
